id,name,salary
htzxZyR1,Anthony Guillemette,anthonyguillemette@yandex.ru,13000
HRmI215d,Anthony Redner,anthonyredner@yahoo.com,8000
6pqlSMkr,Blythe Redner,blytheredner@ya.ru,8000
9cxxKFz3,Buffy Latson,buffylatson@yandex.ru,13000
uROhVQzh,Buffy Mcnaught,buffymcnaught@yandex.ru,15000
nHFIg4yn,Clora Mcnaught,cloramcnaught@yandex.ru,15000
rSQdU2BE,Elroy Klemp,elroyklemp@mail.ru,13000
QrgVHlgC,Gaylene Drews,gaylenedrews@rambler.ru,10000
H8hhrEhD,Larisa Howe,larisahowe@mail.ru,15000
XUZE2Njv,Lawanda Coby,lawandacoby@rambler.ru,5000
9UMS7LLb,Leigha Roberie,leigharoberie@ya.ru,10000
LcvEBBUE,Lyndia Stoval,lyndiastoval@hotmail.com,4000
kfZJ2kPG,Maribel Grisby,maribelgrisby@gmail.com,7000
raXF25bE,Marquis Volkman,marquisvolkman@yandex.ru,13000
OtUCBHnC,Raleigh Buresh,raleighburesh@ya.ru,7000
Id7qKb7G,Raleigh Schewe,raleighschewe@mail.ru,5000
smyi17N1,Raleigh Schroeder,raleighschroeder@ya.ru,6000
7aPSwPMA,Samatha Redner,samatharedner@rambler,ru,11000
47rt6sdG,Tama Menjivar,tamamenjivar@ymail.ru,12000
evlzKqaV,Tami Pecora,tamipecora@hotmail.com,4000
2tnf7GTx,Thomas Mayoral,thomasmayoral@rambler.ru,7000
c0wgZ0OY,Thomas Mcnaught,thomasmcnaught@ya.ru,4000
TYJqZgGQ,Thomas Wrona,thomaswrona@ya.ru,11000
Vxo9w1EY,Tomi Haslett,tomihaslett@yahoo.com,10000
CxGtrGNt,Tyisha Mote,tyishamote@yahoo.com,10000
k4QwzdA5,Tyisha Schewe,tyishaschewe@gmail.com,11000
tqO7kGj7,Yuri Kazmierczak,yurikazmierczak@hotmail.com,14000
gIJNbPHr,Zonia Haslett,zoniahaslett@yahoo.com,8000
pTu0vpXE,Zonia Mongold,zoniamongold@yahoo.com,12000
TzQP1gv6,Zonia Pekar,zoniapekar@rambler.ru,8000
